region,year_to,gdp_pc_region,co2_pc_region,population_region,log_gdp_region,log_co2_region,year_from,d_log_gdp,d_log_co2,year_gap,gdp_change_pct,co2_change_pct,decoupling_classification,gdp_expansion,region_display
China,2016,8679.37704460133,7.763224839493011,1387790000.0,9.068705036023728,2.049397819968573,2015,0.059828325396134474,-0.00351627120676401,1.0,6.165427182327954,-0.351009636475752,Absolute decoupling,True,China
China,2017,9221.51403820573,7.878026521703319,1396215000.0,9.129294515456,2.064077431095893,2016,0.06058947943227189,0.01467961112731997,1.0,6.246266187290606,1.4787885779925958,Relative decoupling,True,China
China,2018,9798.6528523316,8.2177362485386,1402760000.0,9.190000191161818,2.1062947755848542,2017,0.06070567570581886,0.042217344488961306,1.0,6.258612324773538,4.3121170752524085,Relative decoupling,True,China
China,2019,10356.4804194995,8.39147587098516,1407745000.0,9.245367730245357,2.1272164133505536,2018,0.055367539083539086,0.02092163776569933,1.0,5.692900601486017,2.114202953124167,Relative decoupling,True,China
China,2020,10573.6420059282,8.47858302033874,1411100000.0,9.266119580153436,2.137543339183442,2019,0.020751849908078768,0.010326925832888634,1.0,2.0968666731586927,1.0380432559517594,Relative decoupling,True,China
China,2021,11469.5707134928,8.88715660313235,1412360000.0,9.347452782526133,2.1846071561980582,2020,0.08133320237269714,0.04706381701461604,1.0,8.473227172456665,4.818889923157066,Relative decoupling,True,China
China,2022,11830.5983703496,8.86482511020235,1412175000.0,9.378444536449786,2.182091211210007,2021,0.03099175392365261,-0.0025159449880511886,1.0,3.1476998213375795,-0.25127826511043283,Absolute decoupling,True,China
China,2023,12484.157884417502,9.23027553501428,1410710000.0,9.432215750252183,2.2224889001834187,2022,0.053771213802397355,0.04039768897341167,1.0,5.52431494678991,4.122477547710912,Relative decoupling,True,China
China,2024,13121.6769905565,9.31508933799393,1408975000.0,9.482020873732049,2.231635594774488,2023,0.04980512347986554,0.009146694591069426,1.0,5.1066248283734295,0.9188653432707694,Relative decoupling,True,China
DevelopedAsia_Oceania,1991,25398.12010747275,9.289577389020977,202226573.0,10.14243043875082,2.2288930608352406,1990,0.028154048138278043,0.018631755901748814,1.0,2.8554119064990946,1.8806410084186709,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1992,25649.38077971635,9.454973124696208,203708395.0,10.152274709165852,2.246540859662828,1991,0.009844270415031886,0.01764779882758738,1.0,0.989288463793403,1.7804441337741173,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1993,25827.06469633981,9.561967316151431,205090107.0,10.159178240311498,2.257793492100541,1992,0.0069035311456460136,0.011252632437713128,1.0,0.6927415447158136,1.1316181446963336,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1994,26368.779065050207,9.914344472882224,206495256.0,10.179935978125664,2.293982645099473,1993,0.020757737814166788,0.036189152998931995,1.0,2.097467811691267,3.6851951599497834,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1995,27175.581015263306,10.10776604888385,207878179.0,10.21007409226732,2.3133040441140356,1994,0.030138114141655237,0.019321399014562424,1.0,3.059686412566709,1.950926523994334,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1996,28036.3219351617,10.294880226163018,209451752.0,10.241256160474878,2.3316467062365547,1995,0.03118206820755809,0.018342662122519116,1.0,3.1673321700645074,1.8511922058171093,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1997,28505.779494585127,10.321480460910845,210753555.0,10.257862134981464,2.334227205279275,1996,0.016605974506585852,0.0025804990427205077,1.0,1.6744620086370565,0.25838313961370485,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,1998,28077.830321242673,9.856634774285252,211973300.0,10.242735587392428,2.2881448095757477,1997,-0.015126547589035866,-0.04608239570352746,1.0,-1.501271605022203,-4.5036725921832605,"Economic contraction, emissions falling",False,Developed Asia & Oceania
DevelopedAsia_Oceania,1999,28546.308981836548,10.23204704862055,213012664.0,10.259282924128772,2.325524662450152,1998,0.016547336736344676,0.037379852874404484,1.0,1.6685002196891174,3.8087266387784036,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2000,29579.36757319328,10.483474441524896,214150100.0,10.294832355819642,2.3498001546286003,1999,0.035549431690869326,0.024275492178448044,1.0,3.6188867429903127,2.4572540734968618,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2001,29765.724539176095,10.45031253705758,215399577.0,10.301112827275979,2.346631885815989,2000,0.0062804714563373665,-0.003168268812611341,1.0,0.6300234970259222,-0.3163255145256505,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2002,30173.59952402433,10.68539979895585,216461896.0,10.314722633091632,2.368878304913032,2001,0.013609805815653075,0.02224641909704328,1.0,1.370284080642592,2.2495715899848445,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2003,30704.809677393663,10.729602548975596,217337193.0,10.332174588320374,2.373006514854574,2002,0.017451955228741767,0.004128209941541616,1.0,1.7605130370554223,0.4136742737886667,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2004,31654.560449639823,10.800440971460594,218077605.0,10.362637507228364,2.37958696398742,2003,0.03046291890798969,0.006580449132846056,1.0,3.0931661268214894,0.660214785791502,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2005,32441.37803373571,10.805152603120863,218750867.0,10.387189986788766,2.380023113239112,2004,0.024552479560401963,0.00043614925169199736,1.0,2.485637370790994,0.0436244378606121,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2006,33172.48685442722,10.729586127988805,219738923.0,10.409476102131283,2.3730049844158385,2005,0.02228611534251712,-0.007018128823273351,1.0,2.253630594641365,-0.6993559268217098,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2007,34006.348759779474,10.978731296575518,220941959.0,10.434302514395561,2.3959598826453723,2006,0.02482641226427873,0.022954898229533782,1.0,2.513715384111981,2.3220389455358204,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2008,33975.238595209856,10.658412423730253,222273403.0,10.433387261664585,2.3663494792912587,2007,-0.0009152527309765901,-0.02961040335411358,1.0,-0.0914834014949184,-2.9176310467237565,"Economic contraction, emissions falling",False,Developed Asia & Oceania
DevelopedAsia_Oceania,2009,32851.0650444401,10.366872196394567,223330061.0,10.399739444831336,2.3386153563393144,2008,-0.033647816833248356,-0.02773412295194433,1.0,-3.3088025198687143,-2.7353063077817263,"Economic contraction, emissions falling",False,Developed Asia & Oceania
DevelopedAsia_Oceania,2010,34272.856047192974,10.895639484054287,224268094.0,10.442108950969871,2.388362661860347,2009,0.04236950613853452,0.04974730552103246,1.0,4.327990586696284,5.100547953543955,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2011,34738.85062899287,11.252341830236562,225064350.0,10.455613954302263,2.4205762696752773,2010,0.013505003332392462,0.032213607814930434,1.0,1.3596607798259885,3.2738082670989987,Coupled expansion,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2012,35369.946751669806,11.402276791266182,225911355.0,10.473617776732455,2.43381305399148,2011,0.018003822430191718,0.013236784316202677,1.0,1.816686825413294,1.3324778369843582,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2013,36171.28846880683,11.358955263177036,226673584.0,10.496020946894113,2.4300064427942214,2012,0.022403170161657826,-0.003806611197258558,1.0,2.265600575435389,-0.3799375237262259,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2014,36596.7196037315,11.009906510425578,227551469.0,10.507713887059253,2.39879545936571,2013,0.011692940165140442,-0.031210983428511252,1.0,1.1761569823302898,-3.072894862813569,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2015,37144.6099649387,10.867923219618476,228430644.0,10.522573951192609,2.3858156267267123,2014,0.014860064133355166,-0.012979832638997824,1.0,1.497102382781157,-1.2895957896885912,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2016,37685.80091231186,10.853065981914556,229341193.0,10.537038668866165,2.384447619046849,2015,0.014464717673556393,-0.0013680076798632257,1.0,1.4569837935679564,-0.13670723839031007,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2017,38482.87910668136,10.85337501662051,230107252.0,10.557968722840405,2.3844760930565676,2016,0.02093005397424008,2.8474009718504334e-05,1.0,2.1150623711677197,0.0028474415106893858,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2018,39072.27716695763,10.62137287448416,230892892.0,10.573168470634187,2.3628682800091143,2017,0.015199747793781526,-0.021607813047453295,1.0,1.5315851463253205,-2.137603665044918,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2019,39239.364647385075,10.321664202495374,231640417.0,10.577435722095236,2.334245006984154,2018,0.004267251461049781,-0.028623273024960483,1.0,0.4276369143099812,-2.8217507805302633,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2020,38011.83785756029,9.730408960871562,231886194.0,10.545652912762819,2.275255926236691,2019,-0.03178280933241773,-0.058989080747462896,1.0,-3.128304448493624,-5.728293713341969,"Economic contraction, emissions falling",False,Developed Asia & Oceania
DevelopedAsia_Oceania,2021,39550.983570836586,9.914673989389453,231141710.0,10.585345841934272,2.2940158808854894,2020,0.03969292917145317,0.018759954648798427,1.0,4.049122063089583,1.893702816180376,Relative decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2022,40357.41436164277,9.640329334155156,231115901.0,10.60553040803582,2.265955271333006,2021,0.020184566101548285,-0.028060609552483573,1.0,2.0389651988346635,-2.7670567436498206,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2023,41045.86737295627,9.283620198236182,232070739.0,10.622445436803115,2.2282515782944894,2022,0.016915028767295226,-0.037703693038516395,1.0,1.7058897905209536,-3.700175829628305,Absolute decoupling,True,Developed Asia & Oceania
DevelopedAsia_Oceania,2024,41412.735394228934,9.156949361964385,232433108.0,10.631343730726712,2.2145130841293486,2023,0.008898293923596867,-0.013738494165140835,1.0,0.8938001429940501,-1.3644551755344736,Absolute decoupling,True,Developed Asia & Oceania
Europe_NorthAmerica,1991,23679.55660389266,13.165108657971642,995139504.0,10.07236736432486,2.5775700464631406,1990,-0.005483824632641188,-0.020658404659664953,1.0,-0.5468815913933667,-2.044648165732399,"Economic contraction, emissions falling",False,Europe & North America
Europe_NorthAmerica,1992,23833.40474392961,12.72815681846645,1000544665.0,10.078843436258296,2.543816611706479,1991,0.006476071933436245,-0.033753434756661704,1.0,0.649708702787466,-3.319014304075696,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,1993,23923.438862518226,12.41047224961172,1005457661.0,10.082613962886793,2.5185406524499134,1992,0.00377052662849664,-0.02527595925656545,1.0,0.3777644006634606,-2.4959196636690217,Absolute decoupling,True,Europe & North America
Europe_NorthAmerica,1994,24492.222653600573,12.121868042400363,1009711107.0,10.106110903427036,2.4950110976754494,1993,0.02349694054024276,-0.023529554774464057,1.0,2.3775168542909286,-2.3254893239085472,Absolute decoupling,True,Europe & North America
