iso3c,country,region,region_display,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling,dominant_expansion_classification
KHM,Cambodia,Global_South,Global South,34,29,5,9,15,14,0.8529411764705882,0.1724137931034483,0.3103448275862069,0.5172413793103449,0.4827586206896552,5.672818866110627,5.857285553681568,12.49232844116891,5.783835963863848,0.1837999087559785,0.3262140326255351,0.4899860586184864,0.5100139413815137,Coupled expansion
KIR,Kiribati,Global_South,Global South,34,19,7,6,6,13,0.5588235294117647,0.3684210526315789,0.3157894736842105,0.3157894736842105,0.6842105263157895,4.38920475174961,2.8896613298521334,3.8749287090043194,1.4060956545740355,0.3813433850468563,0.31212693543997294,0.30652967951317084,0.6934703204868292,Absolute decoupling
KNA,St. Kitts and Nevis,Global_South,Global South,34,28,7,5,16,12,0.8235294117647058,0.25,0.17857142857142858,0.5714285714285714,0.42857142857142855,3.86853739505507,3.519474861661942,5.357735336887304,6.900016462079773,0.24643840825249405,0.17991115101462934,0.5736504407328766,0.4263495592671234,Coupled expansion
KOR,"Korea, Rep.",DevelopedAsia_Oceania,Developed Asia & Oceania,34,32,8,19,5,27,0.9411764705882353,0.25,0.59375,0.15625,0.84375,4.533793355880391,4.031371436873254,2.7645975721570193,2.047285579443925,0.2616819967527542,0.5902067797646778,0.14811122348256797,0.851888776517432,Relative decoupling
KWT,Kuwait,Global_South,Global South,34,15,6,3,6,9,0.4411764705882353,0.4,0.2,0.4,0.6,9.025514892060128,2.9993648805250572,2.025584709589354,2.9249042841598127,0.4490428290420512,0.16261405892800515,0.3883431120299437,0.6116568879700562,Tie
LAO,Lao PDR,Global_South,Global South,34,33,5,8,20,13,0.9705882352941176,0.15151515151515152,0.24242424242424243,0.6060606060606061,0.3939393939393939,4.555269284246353,4.666344800335542,14.881316023960633,7.4608616423376795,0.1636782939494514,0.24010427971335577,0.5962174263371928,0.4037825736628072,Coupled expansion
LBN,Lebanon,Global_South,Global South,33,19,8,3,8,11,0.5757575757575758,0.42105263157894735,0.15789473684210525,0.42105263157894735,0.5789473684210527,7.453437142380293,4.968339613040618,6.421541835310109,5.168641046038003,0.43405086147241145,0.1289763196557532,0.43697281887183537,0.5630271811281646,Tie
LBR,Liberia,Global_South,Global South,34,21,12,3,6,15,0.6176470588235294,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.7142857142857143,9.468582305535453,2.884739434543504,1.7851161055356668,-0.5596297477272416,0.5649687467496008,0.16362070063397843,0.2714105526164208,0.7285894473835792,Absolute decoupling
LBY,Libya,Global_South,Global South,34,17,5,9,3,14,0.5,0.29411764705882354,0.5294117647058824,0.17647058823529413,0.8235294117647058,12.830031332617812,4.338302666454097,5.778503170547859,3.4495656065022695,0.2679102711495171,0.572719453119677,0.15937027573080595,0.840629724269194,Relative decoupling
LCA,St. Lucia,Global_South,Global South,34,20,7,5,8,12,0.5882352941176471,0.35,0.25,0.4,0.6,4.254854925555533,3.2010395252332846,4.0387576658841216,2.3865679861440836,0.3336970914169723,0.26282746164892173,0.403475446934106,0.596524553065894,Coupled expansion
LKA,Sri Lanka,Global_South,Global South,34,29,10,4,15,14,0.8529411764705882,0.3448275862068966,0.13793103448275862,0.5172413793103449,0.4827586206896552,4.565103485204203,4.404302717469921,5.731532231954478,5.179431284521807,0.3494188621413199,0.1323906877744475,0.5181904500842326,0.4818095499157674,Coupled expansion
LSO,Lesotho,Global_South,Global South,34,29,9,8,12,17,0.8529411764705882,0.3103448275862069,0.27586206896551724,0.41379310344827586,0.5862068965517241,2.9274355419700067,2.884043841285444,9.017081181546905,2.205425998178767,0.31445105689219627,0.26978541832745007,0.41576352478035367,0.5842364752196463,Coupled expansion
LTU,Lithuania,Europe_NorthAmerica,Europe & North America,34,27,8,17,2,25,0.7941176470588235,0.2962962962962963,0.6296296296296297,0.07407407407407407,0.9259259259259259,5.984965714979046,5.790665482286084,1.6712099305533343,2.278081165701029,0.2942440669391114,0.635003668278004,0.07075226478288456,0.9292477352171155,Relative decoupling
LUX,Luxembourg,Europe_NorthAmerica,Europe & North America,34,23,12,5,6,17,0.6764705882352942,0.5217391304347826,0.21739130434782608,0.2608695652173913,0.7391304347826086,2.8799031370149586,2.41663050795089,-1.5325268216777883,-0.4345633954680572,0.5300125454956565,0.2154228335127818,0.25456462099156174,0.7454353790084383,Absolute decoupling
LVA,Latvia,Europe_NorthAmerica,Europe & North America,34,26,14,11,1,25,0.7647058823529411,0.5384615384615384,0.4230769230769231,0.038461538461538464,0.9615384615384616,6.157439341472775,5.027592105724155,-0.6816220007029904,-0.8530705449440512,0.5380714064104324,0.42778458210840675,0.03414401148116081,0.9658559885188391,Absolute decoupling
MAC,"Macao SAR, China",DevelopedAsia_Oceania,Developed Asia & Oceania,34,22,11,5,6,16,0.6470588235294118,0.5,0.22727272727272727,0.2727272727272727,0.7272727272727273,11.70070946645996,6.990482225976125,-0.6954604975422404,0.552970374386913,0.5307927308817894,0.21890874611477018,0.25029852300344047,0.7497014769965595,Absolute decoupling
MAR,Morocco,Global_South,Global South,34,28,7,11,10,18,0.8235294117647058,0.25,0.39285714285714285,0.35714285714285715,0.6428571428571429,3.606567250116629,2.7664063573013764,2.4180043245282827,1.8679711132451815,0.2633159280812743,0.3780461561855063,0.3586379157332194,0.6413620842667807,Relative decoupling
MDA,Moldova,Europe_NorthAmerica,Europe & North America,34,22,6,11,5,17,0.6470588235294118,0.2727272727272727,0.5,0.22727272727272727,0.7727272727272727,5.91982045204021,5.89987615264852,1.9241258740011205,2.165377246812694,0.2805810490209129,0.4898322658767821,0.22958668510230495,0.770413314897695,Relative decoupling
MDG,Madagascar,Global_South,Global South,34,22,7,3,12,10,0.6470588235294118,0.3181818181818182,0.13636363636363635,0.5454545454545454,0.45454545454545453,1.7535208983110744,1.6357784306525125,5.020684134144409,2.9305042830488626,0.308155093378316,0.13133230645254598,0.5605126001691381,0.439487399830862,Coupled expansion
MDV,Maldives,Global_South,Global South,34,28,8,5,15,13,0.8235294117647058,0.2857142857142857,0.17857142857142858,0.5357142857142857,0.4642857142857143,6.500497940330826,4.473593430990286,11.78055496180312,5.263488276304795,0.29482260334684324,0.18420902373558368,0.5209683729175731,0.4790316270824269,Coupled expansion
MEX,Mexico,Global_South,Global South,34,25,7,10,8,17,0.7352941176470589,0.28,0.4,0.32,0.68,2.295495457106851,1.9927014782463726,1.208139668198077,1.0509338984340477,0.29765259598860194,0.406165003168721,0.29618240084267705,0.7038175991573229,Relative decoupling
