region,region_display,year_to,n_total_changes,n_gdp_expansions,n_absolute_decoupling,n_relative_decoupling,n_coupled_expansion,n_any_decoupling,share_gdp_expansion_of_all_changes,share_absolute_of_expansions,share_relative_of_expansions,share_coupled_of_expansions,share_any_decoupling_of_expansions,mean_gdp_change_pct_during_expansions,median_gdp_change_pct_during_expansions,mean_co2_change_pct_during_expansions,median_co2_change_pct_during_expansions,population_weighted_share_absolute,population_weighted_share_relative,population_weighted_share_coupled,population_weighted_share_any_decoupling
DevelopedAsia_Oceania,Developed Asia & Oceania,2024,8,5,2,2,1,4,0.625,0.4,0.4,0.2,0.8,2.8053239601910773,2.326636567052631,0.6846065811686253,1.6178728718359903,0.9253804738282968,0.04318810420505501,0.03143142196664823,0.9685685780333517
Europe_NorthAmerica,Europe & North America,1991,42,15,5,3,7,8,0.35714285714285715,0.3333333333333333,0.2,0.4666666666666667,0.5333333333333333,2.442837241542241,1.8698341766949067,2.557477249235583,2.9009702458966613,0.5036785472376518,0.046197889001766905,0.45012356376058127,0.5498764362394187
Europe_NorthAmerica,Europe & North America,1992,42,17,12,2,3,14,0.40476190476190477,0.7058823529411765,0.11764705882352941,0.17647058823529413,0.8235294117647058,1.8177992843882955,1.1681037872908862,-1.298585219541859,-2.1673115128160836,0.5195799883794037,0.397521477401361,0.08289853421923533,0.9171014657807647
Europe_NorthAmerica,Europe & North America,1993,42,16,7,3,6,10,0.38095238095238093,0.4375,0.1875,0.375,0.625,2.8782081004516096,2.263546573752495,1.852701959163826,0.34162582409367204,0.3600228569276024,0.5899737029668517,0.05000344010554593,0.9499965598944541
Europe_NorthAmerica,Europe & North America,1994,42,35,17,8,10,25,0.8333333333333334,0.4857142857142857,0.22857142857142856,0.2857142857142857,0.7142857142857143,3.784446226459994,3.279140847791462,-2.1364857444094607,0.01338756400475205,0.4690879877134177,0.4102123487098386,0.12069966357674371,0.8793003364232563
Europe_NorthAmerica,Europe & North America,1995,42,35,18,10,7,28,0.8333333333333334,0.5142857142857142,0.2857142857142857,0.2,0.8,4.371842103095615,3.5496329912235725,-0.6517982696540152,-0.008610526506114269,0.5841468247678269,0.17961046141799972,0.2362427138141734,0.7637572861858266
Europe_NorthAmerica,Europe & North America,1996,42,38,7,14,17,21,0.9047619047619048,0.18421052631578946,0.3684210526315789,0.4473684210526316,0.5526315789473685,4.264237415218591,2.961247209430695,4.0439318959471375,2.921958021860882,0.14932540383241652,0.47518880635548655,0.3754857898120969,0.6245142101879031
Europe_NorthAmerica,Europe & North America,1997,42,37,23,7,7,30,0.8809523809523809,0.6216216216216216,0.1891891891891892,0.1891891891891892,0.8108108108108109,5.216279758308573,3.5428030561324597,1.082927927859553,-1.1075401591084222,0.5157051490141499,0.12242045642376509,0.36187439456208503,0.638125605437915
Europe_NorthAmerica,Europe & North America,1998,42,37,16,10,11,26,0.8809523809523809,0.43243243243243246,0.2702702702702703,0.2972972972972973,0.7027027027027027,4.597958635467004,4.004469479605732,1.4901472170501087,0.7828004684712564,0.6463294975050092,0.13406870817254257,0.21960179432244825,0.7803982056775518
Europe_NorthAmerica,Europe & North America,1999,42,35,19,11,5,30,0.8333333333333334,0.5428571428571428,0.3142857142857143,0.14285714285714285,0.8571428571428571,3.905906959276208,3.591980371935377,1.187107195859267,-0.10294857756856235,0.6259705772649609,0.2633679088955255,0.11066151383951359,0.8893384861604864
Europe_NorthAmerica,Europe & North America,2000,42,42,24,12,6,36,1.0,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.8571428571428571,5.050525230061402,4.157764554297517,-0.9221619616262147,-0.23346122700286798,0.32998182230434103,0.5840246720560763,0.0859935056395827,0.9140064943604173
Europe_NorthAmerica,Europe & North America,2001,42,39,10,18,11,28,0.9285714285714286,0.2564102564102564,0.46153846153846156,0.28205128205128205,0.717948717948718,3.5650664146455577,2.6668583800253165,2.6941718954619107,1.6292731634082402,0.26926765366067673,0.6249703685467886,0.1057619777925347,0.8942380222074653
Europe_NorthAmerica,Europe & North America,2002,42,36,17,9,10,26,0.8571428571428571,0.4722222222222222,0.25,0.2777777777777778,0.7222222222222222,3.521502255252497,2.3872724162049774,0.38967516120005585,0.79522322653518,0.713597695101188,0.10398558945540133,0.1824167154434107,0.8175832845565894
Europe_NorthAmerica,Europe & North America,2003,42,37,4,15,18,19,0.8809523809523809,0.10810810810810811,0.40540540540540543,0.4864864864864865,0.5135135135135135,3.816911786248259,3.081963843157265,4.399914250529949,3.681902346079835,0.007283171546845854,0.741579504318016,0.2511373241351381,0.7488626758648619
Europe_NorthAmerica,Europe & North America,2004,42,41,18,18,5,36,0.9761904761904762,0.43902439024390244,0.43902439024390244,0.12195121951219512,0.8780487804878049,4.83260024207782,4.479064928282828,1047.251535528816,0.49700469266011904,0.366155967781287,0.5272496511801653,0.10659438103854765,0.8934056189614523
Europe_NorthAmerica,Europe & North America,2005,42,42,18,17,7,35,1.0,0.42857142857142855,0.40476190476190477,0.16666666666666666,0.8333333333333334,4.021094411231291,3.329983475548781,0.07760113831231093,0.41570378615904957,0.6977706614865323,0.20383686041067348,0.09839247810279415,0.9016075218972058
Europe_NorthAmerica,Europe & North America,2006,42,42,18,20,4,38,1.0,0.42857142857142855,0.47619047619047616,0.09523809523809523,0.9047619047619048,4.9865339444090795,4.217504315536935,1.69056766508601,0.41908099833688484,0.6085600842653492,0.37733685608884726,0.014103059645803419,0.9858969403541966
Europe_NorthAmerica,Europe & North America,2007,42,42,21,13,8,34,1.0,0.5,0.30952380952380953,0.19047619047619047,0.8095238095238095,4.80959021220296,3.5494822747733634,1.0909029616121773,0.12507997390242553,0.39448235688985545,0.5071552053360531,0.0983624377740915,0.9016375622259085
Europe_NorthAmerica,Europe & North America,2008,42,25,15,7,3,22,0.5952380952380952,0.6,0.28,0.12,0.88,4.176758088556998,3.6601247680363436,-0.4571006426505647,-0.5034078551887644,0.6698073003495575,0.2996055111331703,0.03058718851727224,0.9694128114827277
Europe_NorthAmerica,Europe & North America,2009,43,5,4,1,0,5,0.11627906976744186,0.8,0.2,0.0,1.0,1.5080652364210279,0.8749065706999737,-5.679889696213857,-4.643233548462266,0.9441702744227329,0.05582972557726702,0.0,1.0
Europe_NorthAmerica,Europe & North America,2010,43,33,3,5,25,8,0.7674418604651163,0.09090909090909091,0.15151515151515152,0.7575757575757576,0.24242424242424243,2.8834404842324934,2.2260789652016166,5.560203863947395,5.054503025553436,0.02109691885037118,0.08905615436384284,0.889846926785786,0.11015307321421403
Europe_NorthAmerica,Europe & North America,2011,43,35,23,5,7,28,0.813953488372093,0.6571428571428571,0.14285714285714285,0.2,0.8,2.8407777448932614,2.387777532479851,-1.4456856843390729,-2.493006706679357,0.7324965038317588,0.041555022544684225,0.22594847362355702,0.7740515263764429
