region,year,gdp_pc_region,co2_pc_region,population_region,gdp_pc_region_recalc,co2_pc_region_recalc,population_region_recalc,n_countries_used,_merge
DevelopedAsia_Oceania,2004,31654.560449639823,10.800440971460594,218077605.0,31654.560449639823,10.800440971460594,218077605.0,8,both
DevelopedAsia_Oceania,2005,32441.37803373571,10.805152603120863,218750867.0,32441.37803373571,10.805152603120865,218750867.0,8,both
DevelopedAsia_Oceania,2006,33172.48685442722,10.729586127988805,219738923.0,33172.48685442722,10.729586127988803,219738923.0,8,both
DevelopedAsia_Oceania,2007,34006.348759779474,10.978731296575518,220941959.0,34006.348759779474,10.978731296575518,220941959.0,8,both
DevelopedAsia_Oceania,2008,33975.238595209856,10.658412423730253,222273403.0,33975.23859520985,10.658412423730251,222273403.0,8,both
DevelopedAsia_Oceania,2009,32851.0650444401,10.366872196394567,223330061.0,32851.0650444401,10.366872196394569,223330061.0,8,both
DevelopedAsia_Oceania,2010,34272.856047192974,10.895639484054287,224268094.0,34272.856047192974,10.895639484054287,224268094.0,8,both
DevelopedAsia_Oceania,2011,34738.85062899287,11.252341830236562,225064350.0,34738.85062899287,11.252341830236562,225064350.0,8,both
DevelopedAsia_Oceania,2012,35369.946751669806,11.402276791266182,225911355.0,35369.946751669806,11.402276791266182,225911355.0,8,both
DevelopedAsia_Oceania,2013,36171.28846880683,11.358955263177036,226673584.0,36171.28846880684,11.358955263177037,226673584.0,8,both
DevelopedAsia_Oceania,2014,36596.7196037315,11.009906510425578,227551469.0,36596.7196037315,11.009906510425578,227551469.0,8,both
DevelopedAsia_Oceania,2015,37144.6099649387,10.867923219618476,228430644.0,37144.609964938696,10.867923219618476,228430644.0,8,both
DevelopedAsia_Oceania,2016,37685.80091231186,10.853065981914556,229341193.0,37685.80091231186,10.853065981914556,229341193.0,8,both
DevelopedAsia_Oceania,2017,38482.87910668136,10.85337501662051,230107252.0,38482.87910668136,10.85337501662051,230107252.0,8,both
DevelopedAsia_Oceania,2018,39072.27716695763,10.62137287448416,230892892.0,39072.27716695763,10.621372874484159,230892892.0,8,both
DevelopedAsia_Oceania,2019,39239.364647385075,10.321664202495374,231640417.0,39239.364647385075,10.321664202495374,231640417.0,8,both
DevelopedAsia_Oceania,2020,38011.83785756029,9.730408960871562,231886194.0,38011.837857560284,9.730408960871562,231886194.0,8,both
DevelopedAsia_Oceania,2021,39550.983570836586,9.914673989389453,231141710.0,39550.983570836586,9.914673989389453,231141710.0,8,both
DevelopedAsia_Oceania,2022,40357.41436164277,9.640329334155156,231115901.0,40357.41436164277,9.640329334155156,231115901.0,8,both
DevelopedAsia_Oceania,2023,41045.86737295627,9.283620198236182,232070739.0,41045.86737295627,9.283620198236179,232070739.0,8,both
DevelopedAsia_Oceania,2024,41412.735394228934,9.156949361964385,232433108.0,41412.735394228934,9.156949361964383,232433108.0,8,both
Europe_NorthAmerica,1990,23809.767841169512,13.439907479732112,989401372.0,23809.767841169512,13.43990747973211,989401372.0,42,both
Europe_NorthAmerica,1991,23679.55660389266,13.165108657971642,995139504.0,23679.55660389266,13.16510865797164,995139504.0,42,both
Europe_NorthAmerica,1992,23833.40474392961,12.72815681846645,1000544665.0,23833.40474392961,12.72815681846645,1000544665.0,42,both
Europe_NorthAmerica,1993,23923.438862518226,12.41047224961172,1005457661.0,23923.438862518222,12.41047224961172,1005457661.0,42,both
Europe_NorthAmerica,1994,24492.222653600573,12.121868042400363,1009711107.0,24492.222653600576,12.121868042400365,1009711107.0,42,both
Europe_NorthAmerica,1995,24998.135602904706,12.124162827565216,1013682295.0,24998.135602904713,12.124162827565215,1013682295.0,42,both
Europe_NorthAmerica,1996,25549.41272284911,12.25883181925754,1017463049.0,25549.41272284911,12.258831819257539,1017463049.0,42,both
Europe_NorthAmerica,1997,26389.698606408147,12.276839268050503,1021228390.0,26389.698606408147,12.276839268050507,1021228390.0,42,both
Europe_NorthAmerica,1998,27213.00810242274,12.272069910743532,1024831784.0,27213.00810242274,12.272069910743532,1024831784.0,42,both
Europe_NorthAmerica,1999,28184.33394000916,12.234235154220087,1028355017.0,28184.33394000916,12.234235154220086,1028355017.0,42,both
Europe_NorthAmerica,2000,29290.79625988184,12.413946158691456,1031486929.0,29290.796259881838,12.413946158691456,1031486929.0,42,both
Europe_NorthAmerica,2001,29708.23770717796,12.386128345278992,1034370123.0,29708.23770717796,12.386128345278992,1034370123.0,42,both
Europe_NorthAmerica,2002,30087.010317401313,12.18738364019242,1037528035.0,30087.010317401313,12.18738364019242,1037528035.0,42,both
Europe_NorthAmerica,2003,30634.49545363722,12.432968494479953,1041127966.0,30634.49545363722,12.432968494479953,1041127966.0,42,both
Europe_NorthAmerica,2004,31538.222946967613,12.446186641296308,1045175424.0,31538.222946967613,12.446186641296308,1045175424.0,42,both
Europe_NorthAmerica,2005,32342.159779744474,12.395625873295227,1049197042.0,32342.159779744474,12.395625873295229,1049197042.0,42,both
Europe_NorthAmerica,2006,33251.076013736274,12.299091012053928,1053494058.0,33251.07601373628,12.299091012053927,1053494058.0,42,both
Europe_NorthAmerica,2007,34023.02881935831,12.310135588440804,1058199498.0,34023.028819358304,12.310135588440803,1058199498.0,42,both
Europe_NorthAmerica,2008,34059.98258209862,11.943490437586185,1063145164.0,34059.98258209862,11.943490437586185,1063145164.0,43,both
Europe_NorthAmerica,2009,32696.22074452176,11.008879694871892,1067671146.0,32696.22074452176,11.008879694871892,1067671146.0,43,both
Europe_NorthAmerica,2010,33402.066042372935,11.444895806726658,1071762374.0,33402.06604237294,11.444895806726658,1071762374.0,43,both
Europe_NorthAmerica,2011,33927.85029602049,11.194132662563815,1074438017.0,33927.8502960205,11.194132662563815,1074438017.0,43,both
Europe_NorthAmerica,2012,34178.04525350875,10.877025811575107,1078694535.0,34178.04525350875,10.877025811575107,1078694535.0,43,both
Europe_NorthAmerica,2013,34494.577900372984,10.82307089826238,1082618705.0,34494.577900372984,10.82307089826238,1082618705.0,43,both
Europe_NorthAmerica,2014,35087.75886990661,10.57625873064048,1086826050.0,35087.75886990661,10.57625873064048,1086826050.0,43,both
Europe_NorthAmerica,2015,35760.93477703526,10.43035241347416,1091256062.0,35760.93477703526,10.430352413474157,1091256062.0,43,both
Europe_NorthAmerica,2016,36250.72526539805,10.258898540741528,1095833832.0,36250.72526539805,10.258898540741528,1095833832.0,43,both
Europe_NorthAmerica,2017,37069.621391318426,10.197127281468129,1099601985.0,37069.621391318426,10.197127281468127,1099601985.0,43,both
Europe_NorthAmerica,2018,37872.76337938026,10.334783943238795,1103207688.0,37872.76337938026,10.334783943238795,1103207688.0,43,both
Europe_NorthAmerica,2019,38587.38610038245,10.039232723649995,1106126365.0,38587.38610038245,10.039232723649997,1106126365.0,43,both
Europe_NorthAmerica,2020,36973.14250757605,9.158075979197358,1107402933.0,36973.14250757605,9.15807597919736,1107402933.0,43,both
Europe_NorthAmerica,2021,39322.84053056898,9.753989690157807,1106726544.0,39322.84053056899,9.753989690157807,1106726544.0,43,both
Europe_NorthAmerica,2022,40460.832870672566,9.630275260123849,1107082042.0,40460.832870672566,9.630275260123849,1107082042.0,43,both
Europe_NorthAmerica,2023,41078.1441592823,9.23014992961067,1109871354.0,41078.14415928231,9.23014992961067,1109871354.0,43,both
Europe_NorthAmerica,2024,41680.12332734877,9.19543849821514,1116232206.0,41680.12332734877,9.195438498215138,1116232206.0,42,both
Global_South,1990,2790.0211414153687,1.7433137906954306,2034770171.0,2790.0211414153687,1.7433137906954306,2034770171.0,137,both
Global_South,1991,2792.401065623885,1.7504862378493726,2081380031.0,2792.401065623885,1.7504862378493726,2081380031.0,137,both
Global_South,1992,2814.729954933519,1.7440106243328863,2130050728.0,2814.729954933519,1.7440106243328866,2130050728.0,138,both
Global_South,1993,2848.06718297982,1.7421596013837746,2176408348.0,2848.06718297982,1.7421596013837746,2176408348.0,138,both
Global_South,1994,2885.5596054081266,1.7778066484212252,2222265061.0,2885.559605408127,1.7778066484212252,2222265061.0,138,both
Global_South,1995,2905.6664980879877,1.7999319355636505,2268814792.0,2905.6664980879877,1.7999319355636505,2268814792.0,138,both
Global_South,1996,2985.647218044005,1.8451785977749005,2316106151.0,2985.6472180440055,1.8451785977749005,2316106151.0,138,both
Global_South,1997,3065.7965999033595,1.884306424479572,2363513780.0,3065.7965999033595,1.8843064244795726,2363513780.0,138,both
Global_South,1998,3051.985162489093,1.8779678141963336,2411657040.0,3051.9851624890925,1.8779678141963336,2411657040.0,138,both
Global_South,1999,3036.3394522623903,1.8664370529211805,2459985132.0,3036.3394522623903,1.8664370529211805,2459985132.0,138,both
Global_South,2000,3094.65868966312,1.884948241074301,2528870977.0,3094.65868966312,1.884948241074301,2528870977.0,139,both
Global_South,2001,3082.676952972022,1.89538429125532,2578078505.0,3082.676952972022,1.89538429125532,2578078505.0,139,both
Global_South,2002,3105.2063063177575,1.907691456271185,2627787572.0,3105.206306317758,1.907691456271185,2627787572.0,143,both
Global_South,2003,3166.4060894616064,1.9524781299451208,2677657547.0,3166.4060894616064,1.9524781299451206,2677657547.0,143,both
Global_South,2004,3316.57176403516,2.020727434780296,2728350546.0,3316.571764035159,2.020727434780296,2728350546.0,143,both
Global_South,2005,3425.8407919787073,2.070712633637124,2779728344.0,3425.8407919787073,2.070712633637124,2779728344.0,143,both
Global_South,2006,3561.123565237025,2.1179941261564053,2832432926.0,3561.123565237025,2.1179941261564053,2832432926.0,144,both
Global_South,2007,3693.138023612937,2.1744732879290822,2885692979.0,3693.138023612937,2.1744732879290822,2885692979.0,145,both
Global_South,2008,3773.6314731693296,2.220512746114841,2940733311.0,3773.6314731693296,2.2205127461148413,2940733311.0,145,both
Global_South,2009,3700.198981583792,2.164707088177229,2996319888.0,3700.1989815837924,2.1647070881772286,2996319888.0,145,both
Global_South,2010,3854.089818569257,2.249875534152272,3050796720.0,3854.089818569257,2.249875534152272,3050796720.0,145,both
Global_South,2011,3965.3312525201586,2.287322600268135,3107337067.0,3965.331252520159,2.287322600268135,3107337067.0,145,both
Global_South,2012,4056.011557756712,2.3347771821719503,3161630136.0,4056.011557756712,2.3347771821719503,3161630136.0,144,both
Global_South,2013,4131.367861638761,2.341334587113303,3219937655.0,4131.367861638761,2.341334587113303,3219937655.0,145,both
Global_South,2014,4181.164717632462,2.358169973736149,3277634643.0,4181.164717632463,2.3581699737361483,3277634643.0,145,both
Global_South,2015,4210.573880229237,2.3390004795304873,3336350962.0,4210.573880229236,2.3390004795304873,3336350962.0,146,both
Global_South,2016,4225.677717741107,2.333632734677229,3393967175.0,4225.677717741107,2.333632734677229,3393967175.0,145,both
Global_South,2017,4279.268995048175,2.3519865629044125,3451251775.0,4279.268995048175,2.3519865629044125,3451251775.0,145,both
Global_South,2018,4324.159993383464,2.337619552463832,3507894769.0,4324.159993383464,2.337619552463832,3507894769.0,145,both
Global_South,2019,4371.090238110663,2.373896091597042,3529991700.0,4371.090238110663,2.3738960915970426,3529991700.0,144,both
Global_South,2020,4119.318189417118,2.2628084713409713,3586752570.0,4119.318189417118,2.262808471340971,3586752570.0,144,both
Global_South,2021,4287.472283904656,2.3517068847688485,3639811728.0,4287.472283904657,2.3517068847688485,3639811728.0,144,both
Global_South,2022,4437.055555059654,2.372262498502959,3696450079.0,4437.055555059654,2.372262498502959,3696450079.0,144,both
Global_South,2023,4523.509176542838,2.3952462781682553,3730108708.0,4523.509176542838,2.395246278168255,3730108708.0,139,both
Global_South,2024,4642.079867901355,2.451624116491972,3737577526.0,4642.079867901355,2.451624116491972,3737577526.0,132,both
India,1990,537.870269533789,0.694451434874462,864972221.0,537.870269533789,0.694451434874462,864972221.0,1,both
India,1991,531.898397841583,0.731259551121608,883927600.0,531.898397841583,0.731259551121608,883927600.0,1,both
India,1992,549.235069966802,0.741625955705735,902957070.0,549.235069966802,0.741625955705735,902957070.0,1,both
India,1993,563.372872328964,0.758847464560969,922118387.0,563.372872328964,0.758847464560969,922118387.0,1,both
India,1994,588.727892188017,0.790350655307367,941163767.0,588.727892188017,0.790350655307367,941163767.0,1,both
India,1995,620.6999543303791,0.829370336496271,960301044.0,620.6999543303791,0.829370336496271,960301044.0,1,both
India,1996,654.355928429641,0.850777408846526,979678458.0,654.355928429641,0.850777408846526,979678458.0,1,both
India,1997,667.598423095039,0.878441939789039,999133762.0,667.598423095039,0.878441939789039,999133762.0,1,both
India,1998,695.293709344799,0.884093818156602,1018665080.0,695.293709344799,0.884093818156602,1018665080.0,1,both
India,1999,742.53920839445,0.926189927757172,1038225823.0,742.53920839445,0.926189927757172,1038225823.0,1,both
India,2000,756.704109527449,0.942309744278839,1057922733.0,756.704109527449,0.942309744278839,1057922733.0,1,both
India,2001,778.507377528365,0.939789720011458,1077898575.0,778.507377528365,0.939789720011458,1077898575.0,1,both
India,2002,793.615912906381,0.957620477500199,1097600380.0,793.615912906381,0.957620477500199,1097600380.0,1,both
India,2003,841.278894571674,0.9697448826530112,1116803006.0,841.278894571674,0.9697448826530111,1116803006.0,1,both
India,2004,892.596614581612,1.02822643182898,1135991513.0,892.596614581612,1.02822643182898,1135991513.0,1,both
India,2005,947.732565646672,1.05460489385527,1154676322.0,947.732565646672,1.05460489385527,1154676322.0,1,both
India,2006,1008.23275343783,1.10810989189174,1172878890.0,1008.23275343783,1.10810989189174,1172878890.0,1,both
India,2007,1069.24696813025,1.18862350046436,1190676021.0,1069.24696813025,1.18862350046436,1190676021.0,1,both
India,2008,1086.50605251513,1.25815998206335,1207930964.0,1086.50605251513,1.25815998206335,1207930964.0,1,both
India,2009,1155.10163274172,1.32284533301467,1225524753.0,1155.10163274172,1.32284533301467,1225524753.0,1,both
India,2010,1235.15939133951,1.39129863287623,1243481564.0,1235.15939133951,1.39129863287623,1243481564.0,1,both
India,2011,1281.61054354933,1.46337391608571,1261224954.0,1281.61054354933,1.46337391608571,1261224954.0,1,both
India,2012,1333.09626557668,1.57607553513255,1278674502.0,1333.09626557668,1.57607553513255,1278674502.0,1,both
India,2013,1399.4537980287,1.59945855716817,1295829511.0,1399.4537980287,1.59945855716817,1295829511.0,1,both
India,2014,1484.31640682913,1.70517686000076,1312277191.0,1484.31640682913,1.70517686000076,1312277191.0,1,both
India,2015,1583.99815907985,1.71550269097521,1328024498.0,1583.99815907985,1.71550269097521,1328024498.0,1,both
India,2016,1694.46534973825,1.7202923565219,1343944296.0,1694.46534973825,1.7202923565219,1343944296.0,1,both
India,2017,1788.69770318446,1.7954533987753103,1359657400.0,1788.69770318446,1.7954533987753103,1359657400.0,1,both
India,2018,1883.35772705062,1.85989309419052,1374659064.0,1883.35772705062,1.85989309419052,1374659064.0,1,both
India,2019,1936.03067741067,1.83688223212799,1389030312.0,1936.03067741067,1.83688223212799,1389030312.0,1,both
India,2020,1806.50110583878,1.68040016064392,1402617695.0,1806.50110583878,1.68040016064392,1402617695.0,1,both
India,2021,1965.30943437506,1.8370295169940605,1414203896.0,1965.30943437506,1.8370295169940603,1414203896.0,1,both
India,2022,2098.2112447615,1.96929618962877,1425423212.0,2098.2112447615,1.96929618962877,1425423212.0,1,both
India,2023,2270.9051808027,2.09622858892568,1438069596.0,2270.9051808027,2.09622858892568,1438069596.0,1,both
India,2024,2396.94999213544,2.17365173535787,1450935791.0,2396.94999213544,2.17365173535787,1450935791.0,1,both
