Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Sweden,SWE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,34903.3480401006,34268.9743998346,33673.8489875564,32787.2810455518,33862.4221711967,35064.4138802129,35605.4537507466,36675.7506543343,38211.7233090832,39786.0271902555,41561.7747635857,42014.4022302506,42831.7584103774,43475.3655433221,45114.6701230708,46189.6828420555,48078.3520110084,49262.152916545,48428.6587081751,45974.3911151254,48205.5492512742,49356.5905257047,48789.7906883637,48928.4994141291,49557.6183647959,51188.1652120493,51626.3235312369,51894.3748177808,52203.0872589761,53024.4099494317,51624.5811789573,53997.1337068799,54304.1877501033,53937.7967122429,54209.9474264877
Sweden,SWE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.67642266733732,6.68839408752665,6.94365883420144,6.91239070300707,7.16832113903775,7.09672968171639,7.66378411125079,6.98574122586977,7.11836911960198,6.9638944965801,6.53554865027019,6.52637826608933,6.65422739244263,6.65964221276326,6.45636291240893,6.03944461597958,6.06777926998554,5.77642857111625,5.60895184918886,5.04604229815191,5.63902638970728,5.12869166987769,4.80375075083719,4.579871273832,4.41199615103377,4.37800649972355,4.2819344992006,4.15961982553065,3.89655686848453,3.8423518032643,3.67402454179006,3.88625523254982,3.59996303974629,3.4800778844701,3.57381645984766
Sweden,SWE,"Population, total",SP.POP.TOTL,8558835,8617375,8668067,8718561,8780745,8826939,8840998,8846062,8850974,8857874,8872109,8895960,8924958,8958229,8993531,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10175214,10278887,10353442,10415811,10486941,10536632,10569709
Switzerland,CHE,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,70063.8517086247,68559.9382296082,67778.5475359796,67079.4643937643,67391.8444211439,67264.9113311617,67284.1091695976,68640.0745320635,70510.0256437591,71341.3428665645,73749.9389517966,74439.4637644735,73824.3849167809,73254.9529864219,74718.6836260364,76282.9840696619,78893.8078199046,81254.1701015272,82481.0680560935,79585.5216989959,81315.4228307049,81874.3362425008,81964.8864937809,82479.9215677304,83394.3712888211,83806.4476003837,84611.0998672721,84967.5886498224,86756.6022327472,87123.6604234257,84637.0132935333,88661.2029776281,90605.019427268,90077.4460280731,90067.4645431168
Switzerland,CHE,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,6.66475666288786,6.92225768965723,6.84077235765263,6.4460351399089,6.2615933123576,6.33107252175818,6.38096113463945,6.18350701786707,6.370871115208,6.37807354460553,6.23089396944705,6.38860757077529,6.11934268739105,6.24858887469834,6.27946614341052,6.32417274709346,6.22760703127526,5.90856955335217,6.01237631044729,5.76174764144517,5.92014552501505,5.34446068056738,5.45216429296445,5.51425294455201,4.9941693678652,4.85628796304837,4.87123534246438,4.71119898152355,4.52389143055195,4.47745146514166,4.16061648264036,4.32303993798183,3.92846693573085,3.78746475067225,3.74568795220564
Switzerland,CHE,"Population, total",SP.POP.TOTL,6715519,6799978,6875364,6938265,6993795,7040687,7071850,7088906,7110001,7143991,7184250,7229854,7284753,7339001,7389625,7437115,7483934,7551117,7647675,7743831,7824909,7912398,7996861,8089346,8188649,8282396,8373338,8451840,8514329,8575280,8638167,8704546,8777088,8888822,9005582
Syrian Arab Republic,SYR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,931.885068358616,972.285831689207,1065.204692606,1097.11040673676,1142.06397841767,1188.17539496366,1270.05124654802,1299.29856564941,1352.12789604368,1271.32227335953,1248.38488334216,1230.87200021533,1249.00621359351,1307.4814585452,1363.61946683869,1411.63184941498,1420.72293121298,1411.6899137524,1423.59559425951,1484.40523742854,1526.36894402751,1542.71957174916,1142.29080150598,884.329813332104,847.659877206276,847.731631942565,802.969498335502,795.883216970859,792.413811698757,771.518695271305,740.811397013438,734.334236323426,712.272278200037,..,..
Syrian Arab Republic,SYR,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.6237263904055,2.78200431236206,2.68050574756953,2.67269057877948,2.73662757222166,2.7716598180409,2.89835521181635,2.81075932856223,2.90859031303418,2.78581033186898,2.75886578873472,2.69850964188265,2.62348460059037,2.57035827457939,2.61941034118409,3.12583265383377,3.13534302706388,3.11350367803296,3.08179246945125,2.83975010384735,2.78848083131261,2.56219288858715,2.0319939183901,1.43975259608924,1.52845127759128,1.44845576885991,1.34820380336727,1.61670932366686,1.73689698738549,1.63691966220706,1.50831644886899,1.48118445007612,1.38747039300249,1.32899347448781,1.27467701221914
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,12579208,12980821,13385571,13795686,14208583,14616801,15018104,15417542,15820413,16228061,16637888,17051338,17468332,17889296,18336875,18814091,19637022,20884125,21636564,21976969,22482421,22878098,22759763,21666917,20273659,19424618,19193834,19224668,19577845,20353534,21049429,21628839,22462173,23594623,24672760
Tajikistan,TJK,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1312.94701318034,1188.37461269952,827.586884623268,682.727259317268,528.04821736829,452.904385394465,369.934883507426,371.661243144454,389.089746664022,401.406381787908,429.537300984643,461.681195760256,501.80856647117,546.391479808684,590.957111385699,618.333702588577,649.163328755334,686.48090192413,726.185491338269,739.212878526331,770.604105393791,809.368229154093,849.519080831738,889.882383099979,925.970961482804,956.916310930656,997.352614556708,1042.26391757642,1094.8002018221,1148.34676712493,1171.90127480359,1254.06999592306,1325.75545290849,1407.1075436221,1496.33813395037
Tajikistan,TJK,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),EN.GHG.CO2.PC.CE.AR5,2.28246518464953,2.09907411835512,1.51463872269622,1.01287460089471,0.61604691755096,0.512004201335982,0.44516438823359,0.484801775424039,0.52059477394345,0.482542116529782,0.443073574303451,0.427928620401141,0.421852362696273,0.422958365716388,0.493642117490682,0.460827296988181,0.494462255117416,0.562973514266569,0.516570158384597,0.407197108767021,0.401325589792452,0.393927756481488,0.436993173518022,0.437388428770396,0.565921378207624,0.589055327261958,0.644680564756192,0.763156637734805,0.881498491565736,0.948639271115973,0.96295019852687,0.945809874035157,0.938950260561987,0.897072214775281,0.922478268427306
Tajikistan,TJK,"Population, total",SP.POP.TOTL,5398768,5541205,5649400,5724993,5825368,5948584,6066523,6139829,6176397,6208370,6284735,6407377,6531669,6658575,6790547,6924720,7057566,7194477,7338403,7490230,7652141,7824785,8014084,8216724,8425552,8643840,8865631,9085946,9307333,9529966,9749310,9966908,10182222,10389799,10590927
