region,year,gdp_pc_region,co2_pc_region,population_region
Global_South,1997,3065.7965999033595,1.8843064244795722,2363513780.0
Global_South,1998,3051.985162489093,1.8779678141963336,2411657040.0
Global_South,1999,3036.3394522623903,1.8664370529211805,2459985132.0
Global_South,2000,3094.65868966312,1.884948241074301,2528870977.0
Global_South,2001,3082.676952972022,1.89538429125532,2578078505.0
Global_South,2002,3105.2063063177575,1.907691456271185,2627787572.0
Global_South,2003,3166.4060894616064,1.9524781299451206,2677657547.0
Global_South,2004,3316.57176403516,2.020727434780296,2728350546.0
Global_South,2005,3425.8407919787073,2.070712633637124,2779728344.0
Global_South,2006,3561.123565237025,2.1179941261564053,2832432926.0
Global_South,2007,3693.138023612937,2.1744732879290822,2885692979.0
Global_South,2008,3773.6314731693296,2.220512746114841,2940733311.0
Global_South,2009,3700.1989815837924,2.1647070881772286,2996319888.0
Global_South,2010,3854.089818569257,2.249875534152272,3050796720.0
Global_South,2011,3965.3312525201586,2.287322600268135,3107337067.0
Global_South,2012,4056.011557756712,2.3347771821719503,3161630136.0
Global_South,2013,4131.367861638761,2.341334587113303,3219937655.0
Global_South,2014,4181.164717632462,2.358169973736149,3277634643.0
Global_South,2015,4210.573880229237,2.3390004795304873,3336350962.0
Global_South,2016,4225.677717741107,2.333632734677229,3393967175.0
Global_South,2017,4279.268995048175,2.3519865629044125,3451251775.0
Global_South,2018,4324.159993383464,2.337619552463832,3507894769.0
Global_South,2019,4371.090238110663,2.3738960915970426,3529991700.0
Global_South,2020,4119.318189417118,2.2628084713409713,3586752570.0
Global_South,2021,4287.472283904656,2.3517068847688485,3639811728.0
Global_South,2022,4437.055555059654,2.372262498502959,3696450079.0
Global_South,2023,4523.509176542838,2.3952462781682553,3730108708.0
Global_South,2024,4642.079867901355,2.451624116491972,3737577526.0
India,1990,537.870269533789,0.694451434874462,864972221.0
India,1991,531.898397841583,0.731259551121608,883927600.0
India,1992,549.235069966802,0.741625955705735,902957070.0
India,1993,563.372872328964,0.758847464560969,922118387.0
India,1994,588.727892188017,0.790350655307367,941163767.0
India,1995,620.6999543303791,0.829370336496271,960301044.0
India,1996,654.355928429641,0.850777408846526,979678458.0
India,1997,667.598423095039,0.878441939789039,999133762.0
India,1998,695.293709344799,0.884093818156602,1018665080.0
India,1999,742.53920839445,0.926189927757172,1038225823.0
India,2000,756.704109527449,0.942309744278839,1057922733.0
India,2001,778.507377528365,0.939789720011458,1077898575.0
India,2002,793.615912906381,0.957620477500199,1097600380.0
India,2003,841.278894571674,0.9697448826530111,1116803006.0
India,2004,892.596614581612,1.02822643182898,1135991513.0
India,2005,947.732565646672,1.05460489385527,1154676322.0
India,2006,1008.23275343783,1.10810989189174,1172878890.0
India,2007,1069.24696813025,1.18862350046436,1190676021.0
India,2008,1086.50605251513,1.25815998206335,1207930964.0
India,2009,1155.10163274172,1.32284533301467,1225524753.0
India,2010,1235.15939133951,1.39129863287623,1243481564.0
India,2011,1281.61054354933,1.46337391608571,1261224954.0
India,2012,1333.09626557668,1.57607553513255,1278674502.0
India,2013,1399.4537980287,1.59945855716817,1295829511.0
India,2014,1484.31640682913,1.70517686000076,1312277191.0
India,2015,1583.99815907985,1.71550269097521,1328024498.0
India,2016,1694.46534973825,1.7202923565219,1343944296.0
India,2017,1788.69770318446,1.7954533987753103,1359657400.0
India,2018,1883.35772705062,1.85989309419052,1374659064.0
India,2019,1936.03067741067,1.83688223212799,1389030312.0
India,2020,1806.50110583878,1.68040016064392,1402617695.0
India,2021,1965.30943437506,1.8370295169940603,1414203896.0
India,2022,2098.2112447615,1.96929618962877,1425423212.0
India,2023,2270.9051808027,2.09622858892568,1438069596.0
India,2024,2396.94999213544,2.17365173535787,1450935791.0
