iso3c,country,region,n_years_in_source,n_valid_regression_observations,enters_main_regression,regression_sample_status
PNG,Papua New Guinea,Global_South,35,35,True,Included
POL,Poland,Europe_NorthAmerica,35,35,True,Included
PRI,Puerto Rico (US),Global_South,35,35,True,Included
PRK,"Korea, Dem. People's Rep.",Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
PRT,Portugal,Europe_NorthAmerica,35,35,True,Included
PRY,Paraguay,Global_South,35,35,True,Included
PSE,West Bank and Gaza,Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
PYF,French Polynesia,Global_South,35,35,True,Included
QAT,Qatar,Global_South,35,35,True,Included
ROU,Romania,Europe_NorthAmerica,35,35,True,Included
RUS,Russian Federation,Europe_NorthAmerica,35,35,True,Included
RWA,Rwanda,Global_South,35,35,True,Included
SAU,Saudi Arabia,Global_South,35,35,True,Included
SDN,Sudan,Global_South,35,35,True,Included
SEN,Senegal,Global_South,35,35,True,Included
SGP,Singapore,DevelopedAsia_Oceania,35,35,True,Included
SLB,Solomon Islands,Global_South,35,35,True,Included
SLE,Sierra Leone,Global_South,35,35,True,Included
SLV,El Salvador,Global_South,35,35,True,Included
SMR,San Marino,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
SOM,"Somalia, Fed. Rep.",Global_South,35,35,True,Included
SRB,Serbia,Europe_NorthAmerica,35,0,False,No usable positive GDP-CO2 economy-year observations
SSD,South Sudan,Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
STP,Sao Tome and Principe,Global_South,35,35,True,Included
SUR,Suriname,Global_South,35,35,True,Included
SVK,Slovak Republic,Europe_NorthAmerica,35,35,True,Included
SVN,Slovenia,Europe_NorthAmerica,35,35,True,Included
SWE,Sweden,Europe_NorthAmerica,35,35,True,Included
SWZ,Eswatini,Global_South,35,35,True,Included
SXM,Sint Maarten (Dutch part),Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
SYC,Seychelles,Global_South,35,35,True,Included
SYR,Syrian Arab Republic,Global_South,35,33,True,Included
TCA,Turks and Caicos Islands,Global_South,35,18,True,Included
TCD,Chad,Global_South,35,35,True,Included
TGO,Togo,Global_South,35,35,True,Included
THA,Thailand,Global_South,35,35,True,Included
TJK,Tajikistan,Global_South,35,35,True,Included
TKM,Turkmenistan,Global_South,35,35,True,Included
TLS,Timor-Leste,Global_South,35,35,True,Included
TON,Tonga,Global_South,35,34,True,Included
TTO,Trinidad and Tobago,Global_South,35,35,True,Included
TUN,Tunisia,Global_South,35,35,True,Included
TUR,Turkiye,Global_South,35,35,True,Included
TUV,Tuvalu,Global_South,35,0,False,No usable positive GDP-CO2 economy-year observations
TZA,Tanzania,Global_South,35,35,True,Included
UGA,Uganda,Global_South,35,35,True,Included
