iso3c,country,region,first_year,last_year,n_years,within_log_gdp_sd,within_log_co2_sd,missing_years,coverage_pct,is_balanced_1990_2024
JPN,Japan,DevelopedAsia_Oceania,1990,2024,35,0.07484398183158814,0.06685520699574088,,100.0,True
KAZ,Kazakhstan,Global_South,1990,2024,35,0.4215370930330806,0.18812012431026406,,100.0,True
KEN,Kenya,Global_South,1990,2024,35,0.13548847087377153,0.18613500771882485,,100.0,True
KGZ,Kyrgyz Republic,Global_South,1990,2024,35,0.23549635900142407,0.3973402739642637,,100.0,True
KHM,Cambodia,Global_South,1990,2024,35,0.4878795104331343,0.9261588990343141,,100.0,True
KIR,Kiribati,Global_South,1990,2024,35,0.1247487808719092,0.4200200114816451,,100.0,True
KNA,St. Kitts and Nevis,Global_South,1990,2024,35,0.250841766341499,0.477023785515545,,100.0,True
KOR,"Korea, Rep.",DevelopedAsia_Oceania,1990,2024,35,0.39612813902412614,0.19646355756498948,,100.0,True
KWT,Kuwait,Global_South,1990,2024,35,0.20845083849617685,0.16843775790463267,,100.0,True
LAO,Lao PDR,Global_South,1990,2024,35,0.49812487037222897,1.3879550003780468,,100.0,True
LBN,Lebanon,Global_South,1990,2023,34,0.24895863732506568,0.28081397196856844,2024,97.14285714285714,False
LBR,Liberia,Global_South,1990,2024,35,0.33785452667794597,0.27879059484506946,,100.0,True
LBY,Libya,Global_South,1990,2024,35,0.22532334482145944,0.11392800879171103,,100.0,True
LCA,St. Lucia,Global_South,1990,2024,35,0.10062835737782824,0.4103131123789566,,100.0,True
LKA,Sri Lanka,Global_South,1990,2024,35,0.4029141360250248,0.41885196101083294,,100.0,True
LSO,Lesotho,Global_South,1990,2024,35,0.22691869123118807,0.7035085963462692,,100.0,True
LTU,Lithuania,Europe_NorthAmerica,1990,2024,35,0.44782617254142754,0.21801396931640932,,100.0,True
LUX,Luxembourg,Europe_NorthAmerica,1990,2024,35,0.16104652047887894,0.3041508040775888,,100.0,True
LVA,Latvia,Europe_NorthAmerica,1990,2024,35,0.44089914854518486,0.17959844466646954,,100.0,True
MAC,"Macao SAR, China",DevelopedAsia_Oceania,1990,2024,35,0.3980488812151757,0.16412918137621238,,100.0,True
MAR,Morocco,Global_South,1990,2024,35,0.251321871337,0.2378435650763929,,100.0,True
MDA,Moldova,Europe_NorthAmerica,1990,2024,35,0.3495798756481544,0.34549883684424865,,100.0,True
MDG,Madagascar,Global_South,1990,2024,35,0.0487027229507794,0.21881997794900152,,100.0,True
MDV,Maldives,Global_South,1990,2024,35,0.28162894606973266,0.6795200552405839,,100.0,True
MEX,Mexico,Global_South,1990,2024,35,0.0749661423773426,0.06830935645271104,,100.0,True
MHL,Marshall Islands,Global_South,1990,2024,35,0.20054936283991884,0.09009614527466019,,100.0,True
MKD,North Macedonia,Europe_NorthAmerica,1990,2024,35,0.27756291133781913,0.08247672996023536,,100.0,True
MLI,Mali,Global_South,1990,2024,35,0.12845463675815255,0.8066959721025582,,100.0,True
MLT,Malta,Europe_NorthAmerica,1990,2024,35,0.36343260794069987,0.3071565126345759,,100.0,True
MMR,Myanmar,Global_South,1990,2024,35,0.7537355101231489,0.5739305278163245,,100.0,True
MNG,Mongolia,Global_South,1990,2024,35,0.42608980087845555,0.25666343148294124,,100.0,True
MNP,Northern Mariana Islands,Global_South,2002,2022,21,0.19458994240097438,0.11247941675447304,"1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2023,2024",60.0,False
