Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Congo, Rep.",COG,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,31.3305359,..,29.4557004,..,33.8100366,..,40.4564334,37.3030656,39.5970188,35.9708064,37.3130458,37.7249637,36.8438381,36.7631594,37.02056,36.6235303,37.099649,37.7763691,38.4445395,39.3563343,38.0938935,36.1496859,36.3824626,35.6952545,34.0353566,36.5462503,35.6511607,36.1497395,36.7010169,..
"Congo, Rep.",COG,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,41.2667935,..,29.41904,..,35.1601434,..,37.4977269,37.4754993,39.2445961,32.1994411,35.5113742,36.5607556,36.8201897,36.0807404,36.0185582,36.0281566,36.3702899,36.6064792,37.5683355,38.4429835,37.2240302,36.5595783,36.227589,35.9262313,35.4696245,35.7384609,36.1958852,36.6058149,36.6808587,..
Costa Rica,CRI,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,50.8789494,..,50.8124431,..,53.458327,..,55.2388412,55.0984651,56.5155667,55.8359476,54.6014973,56.0930792,56.7144673,59.1647619,59.1700876,58.4202309,59.7703284,57.9180366,58.4756853,58.3338139,57.4755918,57.8331129,58.2016549,57.2585713,55.7310024,56.619285,53.6977704,57.8366245,56.9189193,..
Costa Rica,CRI,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,58.0001328,..,62.7821947,..,66.5410999,..,59.9689218,61.1655042,64.0030745,65.4029805,63.5472016,64.495217,66.725411,66.3869973,64.7255617,63.8704353,65.6806112,66.4658166,63.1397123,64.5883882,65.1912997,63.470592,65.1359862,65.4136941,63.3658161,63.7041888,64.2055654,63.9239446,64.0390444,..
Costa Rica,CRI,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,65.9388547,..,64.7699468,..,65.3048916,..,67.3024742,66.5482031,66.4836079,67.6124235,66.2066705,66.0464956,66.4427462,67.7552551,68.1503268,64.9264179,64.6597621,64.8418686,66.3685302,65.935817,65.8170374,66.277594,65.8900262,66.9617832,67.8366858,67.4710513,68.4538686,68.0333663,67.5792602,..
Cote d'Ivoire,CIV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,56.5466965,..,45.3679406,..,29.0392472,..,25.7958117,25.6982863,19.9016798,21.5027723,24.5400527,24.0884828,24.8852482,29.0066377,27.0081055,27.8419914,30.6005962,33.3779839,37.3050032,39.6748365,39.4727587,39.7545161,41.464396,41.8297433,41.8599477,41.6068526,44.4409236,45.1473715,45.2016572,..
Cote d'Ivoire,CIV,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,42.7327525,..,48.0945545,..,36.88952,..,45.8889292,44.5202696,36.2463568,37.2667914,39.861149,39.6279639,40.1369675,40.7155232,39.8097374,40.0129316,42.27887,43.6630818,46.2093004,47.8317995,47.8671117,48.4719694,50.174469,49.8780562,49.7970195,50.3026275,51.4636422,51.8839317,52.2296396,..
Cote d'Ivoire,CIV,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,43.0869286,..,40.1155592,..,35.270803,..,33.2349162,33.2189671,32.0231399,30.4495257,32.323489,32.7996386,32.9774338,35.8770586,35.3073706,33.8635957,39.0775817,40.8276211,45.6122775,45.0609636,45.2619071,45.0161831,46.2409862,46.6400181,46.322799,45.730157,46.6008431,46.5987933,47.0144438,..
Croatia,HRV,Government Effectiveness - Governance score (0-100),GOV_WGI_GE_SC,..,..,..,..,..,..,44.8229208,..,45.3679406,..,54.9060976,..,55.3467225,54.5125059,58.5218182,58.2412196,57.2225473,58.6395128,59.036128,59.5324289,56.9187831,56.0184181,59.1426463,59.4215338,59.6165223,56.3326237,56.492053,59.1971848,60.9216088,59.489619,61.1725164,66.0362591,65.266939,65.8990155,65.1411148,..
Croatia,HRV,Regulatory Quality - Governance score (0-100),GOV_WGI_RQ_SC,..,..,..,..,..,..,50.0828323,..,49.5746061,..,50.4995053,..,56.9726973,59.5407009,60.804878,61.3323721,59.9232414,60.7519854,60.4382367,60.8111062,59.801177,59.1921825,58.1187954,58.4331277,56.7407549,57.1698447,57.707073,59.5254783,61.1018571,60.9313191,58.045127,60.0957508,59.5836638,61.8626341,59.3714688,..
Croatia,HRV,Rule of Law - Governance score (0-100),GOV_WGI_RL_SC,..,..,..,..,..,..,45.3489916,..,49.6700519,..,56.4773979,..,55.7794746,58.5414173,59.5851071,59.2694094,57.5469106,59.5804154,58.4383631,58.829583,60.6473982,61.0988762,61.5719296,61.467008,63.1451927,62.70522,62.2101094,62.8737248,61.3604135,62.3003726,62.9659811,64.0692267,64.4429262,64.2928024,63.4614669,..
